epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,442.497,4.026,16.9408,0.01176,0.00042,0.00013,1e-05,0,3.86332,16.5128,0.00947,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,859.999,3.02149,8.01302,0.00538,0.49762,0.06573,0.04228,0.0206,2.42224,5.32695,0.00313,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1274.18,2.38653,3.94279,0.00331,0.20917,0.14284,0.09695,0.05006,2.05429,3.03675,0.0025,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1688.67,2.11377,2.83982,0.0027,0.29893,0.22892,0.14194,0.0818,1.88218,2.43918,0.00216,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2100.41,1.96248,2.44213,0.00239,0.41685,0.2729,0.1815,0.10318,1.72866,2.07155,0.00196,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2509.13,1.83532,2.22589,0.0022,0.29414,0.29696,0.19588,0.12204,1.62655,1.96725,0.00178,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2926.38,1.78027,2.11421,0.00208,0.33243,0.31681,0.22134,0.13729,1.55387,1.90114,0.00172,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3337.91,1.73838,2.02733,0.00199,0.31105,0.33287,0.23523,0.14681,1.53054,1.82521,0.00163,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3750.31,1.68214,1.97064,0.00191,0.34337,0.34648,0.25025,0.1631,1.50181,1.72803,0.00159,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4171.38,1.64756,1.93126,0.00185,0.41868,0.33528,0.25545,0.16125,1.47789,1.71536,0.00155,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
