epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,357.563,4.2322,21.3319,0.01345,0,0,0,0,4.1888,17.9656,0.01041,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,704.126,3.39773,9.57958,0.00635,0.37892,0.03247,0.01572,0.00606,2.71144,6.47438,0.00375,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701
3,1040.62,2.62185,4.48155,0.00356,0.40864,0.11993,0.07491,0.03442,2.27708,3.39811,0.00282,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437
4,1376.44,2.30015,3.02989,0.00296,0.51769,0.18648,0.1232,0.06598,1.94377,2.55416,0.00232,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1710.84,2.15011,2.57614,0.00255,0.42225,0.212,0.15453,0.0863,1.81176,2.22966,0.00209,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2048.18,2.01419,2.35862,0.00233,0.38436,0.29133,0.18692,0.10596,1.74894,2.04911,0.00197,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2387.91,1.91442,2.206,0.00219,0.3909,0.31584,0.21313,0.12508,1.66781,1.96923,0.00183,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2725.22,1.85765,2.11594,0.00207,0.40091,0.31049,0.21708,0.12791,1.58931,1.9078,0.00174,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3066.08,1.78926,2.0217,0.00201,0.38491,0.33805,0.232,0.14147,1.5525,1.81177,0.00168,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3402.04,1.75518,1.95874,0.0019,0.37212,0.34687,0.25695,0.15583,1.54558,1.73661,0.00169,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3747.18,1.74223,1.9369,0.00187,0.41436,0.35624,0.26005,0.16494,1.51245,1.71525,0.00162,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4092.37,1.7094,1.8964,0.00184,0.46946,0.33411,0.26878,0.17066,1.47168,1.66811,0.00158,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4434.02,1.67836,1.83744,0.00178,0.4073,0.36454,0.28983,0.18422,1.46327,1.64728,0.00158,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4771.03,1.65998,1.80886,0.00176,0.42276,0.38886,0.2979,0.19472,1.42882,1.58038,0.00151,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5106.63,1.63421,1.79987,0.00175,0.4106,0.43026,0.31547,0.20344,1.43644,1.56095,0.00151,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5445.06,1.63077,1.7612,0.0017,0.40251,0.40624,0.30084,0.19498,1.40705,1.54698,0.00148,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5782.13,1.62088,1.75214,0.00172,0.46421,0.39492,0.31021,0.20233,1.40747,1.53602,0.00146,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,6121.21,1.59607,1.72068,0.00167,0.51636,0.36814,0.33312,0.21938,1.38903,1.50458,0.00146,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6457.21,1.58513,1.70202,0.00163,0.39376,0.45523,0.34224,0.22858,1.36606,1.47635,0.00141,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6797.82,1.57554,1.66354,0.00162,0.36815,0.42958,0.34528,0.23362,1.34438,1.47394,0.00138,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,7132.91,1.57249,1.66509,0.00161,0.42677,0.44922,0.3572,0.24042,1.34767,1.44526,0.00139,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7474.09,1.56407,1.64696,0.0016,0.42446,0.43349,0.36636,0.24489,1.36227,1.40398,0.0014,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7821.16,1.53579,1.6376,0.00159,0.37776,0.45951,0.38102,0.25891,1.34493,1.38945,0.00139,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
