epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,514.737,4.0832,17.1203,0.01182,0,0,0,0,4.02289,17.3167,0.0098,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,968.464,3.20805,8.88103,0.00611,0.43554,0.06819,0.02724,0.01387,2.53644,6.017,0.00346,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1395.53,2.45853,4.07007,0.00349,0.23296,0.15143,0.08386,0.04136,2.10508,3.20387,0.00259,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1823.57,2.1341,2.83476,0.00275,0.44807,0.19681,0.1345,0.07006,1.8849,2.431,0.00221,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2254.43,1.94425,2.4318,0.00236,0.4378,0.2324,0.18024,0.10451,1.6794,2.0635,0.00188,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2655.42,1.8141,2.20144,0.00218,0.34104,0.2953,0.21037,0.12744,1.63549,1.96479,0.00177,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3042.4,1.7606,2.10395,0.00205,0.34954,0.33626,0.22071,0.13546,1.53897,1.87371,0.00165,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3446.9,1.71821,2.01953,0.00197,0.37938,0.33199,0.23824,0.14937,1.50065,1.75339,0.00161,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3839.3,1.6713,1.94906,0.00189,0.26677,0.36496,0.25759,0.16671,1.45035,1.69444,0.00152,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4243.17,1.63907,1.90254,0.00184,0.35401,0.37032,0.26972,0.17354,1.44376,1.64123,0.00153,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4637.53,1.632,1.86182,0.00182,0.26325,0.37832,0.28705,0.19066,1.41532,1.60546,0.00147,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5027.95,1.59136,1.80564,0.00178,0.29137,0.39165,0.28325,0.18016,1.43963,1.59794,0.00151,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5417.15,1.57895,1.78051,0.00174,0.37895,0.38608,0.30486,0.19794,1.40209,1.53167,0.00145,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5809.4,1.55014,1.73093,0.00171,0.3789,0.42651,0.32459,0.21757,1.35969,1.51778,0.00139,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6200.68,1.54498,1.73132,0.0017,0.3809,0.42864,0.33785,0.23078,1.34472,1.50729,0.00138,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6591.99,1.5428,1.71469,0.00167,0.36879,0.43029,0.33152,0.22621,1.35844,1.48413,0.00141,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,6984.91,1.51437,1.68594,0.00164,0.37243,0.4428,0.34991,0.23908,1.3403,1.43834,0.00135,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,7381.19,1.51649,1.66325,0.00164,0.43359,0.44675,0.35755,0.2445,1.32793,1.45421,0.00136,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,7782.02,1.48868,1.62712,0.00162,0.37131,0.4447,0.37151,0.25569,1.32573,1.41579,0.00133,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,8183.99,1.48066,1.62384,0.0016,0.40859,0.44546,0.38636,0.26974,1.3103,1.38675,0.00131,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,8583.62,1.47709,1.57729,0.00159,0.39526,0.44212,0.39643,0.27657,1.30589,1.36827,0.00132,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,8981.92,1.47548,1.58552,0.00158,0.39877,0.45999,0.4006,0.2818,1.28046,1.35984,0.0013,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,9377.45,1.46602,1.5738,0.00156,0.43908,0.46816,0.39903,0.27904,1.28022,1.34765,0.00128,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,9776.63,1.45981,1.55225,0.00157,0.3816,0.46778,0.42122,0.29535,1.27251,1.32193,0.00128,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,10173.6,1.45107,1.55476,0.00155,0.43633,0.45806,0.40531,0.28592,1.25689,1.34475,0.00126,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,10571.3,1.44942,1.51849,0.00154,0.43263,0.45202,0.42757,0.30086,1.25547,1.29935,0.00126,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,10969.6,1.45428,1.52614,0.00153,0.47704,0.46804,0.44332,0.30933,1.25654,1.28693,0.00125,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,11368,1.43727,1.50648,0.00153,0.43751,0.47885,0.44267,0.3157,1.22981,1.26846,0.00123,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,11773.2,1.43587,1.48727,0.00152,0.48414,0.46581,0.44967,0.31761,1.24358,1.26906,0.00123,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,12178.4,1.43721,1.48946,0.00153,0.52195,0.46482,0.45937,0.32763,1.25079,1.24476,0.00124,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,12576.5,1.41965,1.46086,0.0015,0.49342,0.45573,0.45185,0.31742,1.23851,1.23246,0.00123,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,12974.1,1.42865,1.45329,0.00149,0.48254,0.48067,0.46683,0.33045,1.2411,1.25696,0.00124,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,13372.3,1.43188,1.46555,0.0015,0.41663,0.50569,0.46999,0.33637,1.23198,1.23002,0.00122,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,13767.9,1.42039,1.43352,0.0015,0.46344,0.51339,0.48756,0.34701,1.24067,1.21463,0.00122,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,14164.3,1.39766,1.42649,0.00149,0.46391,0.50467,0.48902,0.3484,1.22114,1.20311,0.0012,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,14561.8,1.41668,1.4097,0.00148,0.49477,0.51143,0.50142,0.35725,1.21049,1.18176,0.0012,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,14965.2,1.41818,1.4158,0.00147,0.52394,0.4956,0.50681,0.36057,1.2121,1.19016,0.00119,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,15373,1.41182,1.4041,0.00147,0.54086,0.49599,0.51034,0.36702,1.20468,1.18261,0.00118,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,15781.7,1.40657,1.39162,0.00146,0.47496,0.5342,0.51183,0.36782,1.21622,1.17325,0.00119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,16186.1,1.40464,1.38279,0.00146,0.47285,0.5202,0.51655,0.36977,1.20195,1.15975,0.00118,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,16584.2,1.40629,1.3907,0.00147,0.51161,0.52139,0.53086,0.3833,1.19747,1.15197,0.00117,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,16981.3,1.40334,1.38354,0.00149,0.52578,0.50849,0.53054,0.38528,1.19396,1.14557,0.00117,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
