epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,461.711,4.0278,17.9976,0.01247,0.00034,0.00109,1e-05,0,3.7529,14.3225,0.00773,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,897.354,3.02998,8.08607,0.00544,0.46086,0.0703,0.03773,0.01927,2.41142,5.37683,0.00318,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1326.29,2.42559,3.99769,0.00342,0.46933,0.11128,0.08801,0.04344,2.1567,4.04021,0.00269,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1753.15,2.1275,2.82416,0.00275,0.3915,0.23857,0.15297,0.08233,1.95758,2.41604,0.00224,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2181.27,1.93741,2.41843,0.00235,0.44659,0.2478,0.18487,0.10976,1.67882,2.07695,0.00189,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2604.91,1.80616,2.2004,0.00217,0.32727,0.31128,0.21552,0.12994,1.5853,1.91273,0.00174,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3093.76,1.74696,2.09699,0.00204,0.35545,0.35122,0.22177,0.13174,1.54612,1.87788,0.00169,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3624.9,1.7045,2.0174,0.00195,0.37075,0.34409,0.25053,0.15641,1.50614,1.78479,0.00161,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,4152.73,1.65007,1.94132,0.00186,0.29165,0.36657,0.25614,0.16316,1.46778,1.70157,0.00156,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4678.84,1.62391,1.89402,0.00182,0.44853,0.34316,0.27535,0.17103,1.47714,1.71374,0.00155,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,5103.09,1.6157,1.85731,0.0018,0.32021,0.41464,0.2896,0.18921,1.41984,1.6044,0.00149,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5528.07,1.56813,1.80824,0.00176,0.40163,0.39269,0.30452,0.1999,1.40303,1.57103,0.00146,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5942.72,1.56419,1.77953,0.00173,0.37115,0.40932,0.30151,0.19834,1.37546,1.54293,0.00143,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,6340.86,1.53759,1.72534,0.0017,0.40804,0.40853,0.33246,0.22315,1.36395,1.52638,0.00142,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6737.29,1.53146,1.72287,0.00168,0.42371,0.40557,0.34011,0.22944,1.35795,1.48764,0.00142,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,7131.93,1.51359,1.70027,0.00165,0.36642,0.45457,0.35148,0.23726,1.33476,1.45205,0.00139,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,7528.66,1.50412,1.67499,0.00163,0.43516,0.42745,0.35966,0.24396,1.32416,1.43963,0.00136,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
