epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,399.997,4.07424,17.1984,0.0121,0,0,0,0,3.94399,15.8549,0.00888,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,809.8,3.19998,8.47248,0.00589,0.48399,0.05816,0.03417,0.01538,2.51815,5.47379,0.00337,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1210.17,2.41169,3.97219,0.00337,0.2824,0.16069,0.09027,0.0447,2.09608,3.3627,0.00258,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1611.22,2.11709,2.80841,0.00271,0.43504,0.22013,0.14719,0.083,1.83414,2.35165,0.00208,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2013.75,1.94913,2.40986,0.00237,0.44059,0.27553,0.19337,0.11288,1.68366,2.07035,0.00188,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2426.09,1.80981,2.18127,0.00217,0.30559,0.31138,0.21076,0.12961,1.57855,1.9287,0.00172,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2800.96,1.75487,2.08539,0.00205,0.39515,0.32977,0.22635,0.14103,1.55067,1.8704,0.00171,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3169.71,1.72181,1.9989,0.00197,0.32786,0.34236,0.24496,0.15009,1.55747,1.74894,0.00166,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3539.38,1.67025,1.94059,0.0019,0.41509,0.3455,0.26437,0.16817,1.48274,1.68947,0.00156,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3908.44,1.63583,1.88401,0.00185,0.42923,0.33814,0.277,0.17688,1.45962,1.66419,0.00153,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4277.86,1.62283,1.84797,0.00181,0.36204,0.38297,0.28762,0.18578,1.41745,1.59987,0.00148,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4647.34,1.58457,1.80185,0.00178,0.3981,0.40174,0.30363,0.19619,1.41486,1.55054,0.00149,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5019.04,1.56711,1.77518,0.00173,0.44583,0.3715,0.30982,0.20121,1.40915,1.53584,0.00149,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5390.25,1.53968,1.72163,0.00169,0.43484,0.41246,0.32722,0.22019,1.37041,1.51696,0.00141,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5769.05,1.53477,1.72223,0.00168,0.36116,0.42296,0.34644,0.22645,1.3797,1.4778,0.00144,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6150.42,1.5222,1.69309,0.00165,0.38265,0.44295,0.34737,0.23057,1.37088,1.45153,0.00142,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
