epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,438.737,4.0653,18.3545,0.01279,0,0,0,0,3.83478,15.6171,0.00866,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,861.377,3.12545,8.38008,0.00574,0.37611,0.05432,0.02708,0.01236,2.56111,5.57075,0.00332,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1283.37,2.42965,4.06849,0.00343,0.28702,0.13752,0.08563,0.04321,2.07893,3.4044,0.00249,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1703.43,2.11438,2.89493,0.00272,0.37495,0.19328,0.14315,0.08062,1.82875,2.38054,0.00209,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2121.37,1.92224,2.47297,0.00233,0.37357,0.26916,0.17238,0.10153,1.69491,2.11281,0.00189,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2539.64,1.79131,2.23441,0.00214,0.29568,0.28664,0.20292,0.12761,1.57801,1.95197,0.00173,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2960.91,1.74462,2.121,0.00203,0.3562,0.31176,0.22745,0.14112,1.51685,1.84879,0.00165,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3379.47,1.70654,2.02339,0.00195,0.32062,0.34191,0.24507,0.15109,1.52464,1.75231,0.00162,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3800.68,1.65692,1.95567,0.00187,0.30977,0.347,0.24873,0.15797,1.48105,1.71097,0.00158,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4232.83,1.62076,1.91426,0.00182,0.4329,0.37202,0.28109,0.17739,1.46947,1.66233,0.00154,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4653.77,1.61576,1.8781,0.0018,0.42165,0.35589,0.28375,0.1822,1.42105,1.6204,0.00149,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5062.66,1.58097,1.82444,0.00177,0.41762,0.36374,0.29779,0.19554,1.40641,1.5853,0.0015,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5470.85,1.55826,1.78395,0.00172,0.42358,0.4022,0.30451,0.19968,1.38412,1.55316,0.00143,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5882.69,1.54134,1.74714,0.00169,0.39956,0.42823,0.32888,0.21968,1.36312,1.51062,0.00141,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6292.24,1.53041,1.73846,0.00168,0.48788,0.38888,0.32763,0.21441,1.37363,1.50458,0.00141,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6702.56,1.52661,1.71593,0.00166,0.39119,0.42778,0.35057,0.23616,1.35203,1.4821,0.00139,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,7113.02,1.50421,1.69051,0.00163,0.39335,0.39935,0.33926,0.23092,1.33857,1.4734,0.00137,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,7527.47,1.50162,1.68143,0.00164,0.35963,0.44215,0.3578,0.24746,1.31882,1.45,0.00136,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,7950.26,1.47734,1.64255,0.00161,0.40595,0.43324,0.36895,0.25315,1.31718,1.40644,0.00135,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,8370.45,1.471,1.62702,0.00159,0.407,0.448,0.37326,0.25468,1.31592,1.41956,0.00134,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,8783.72,1.4726,1.58871,0.00159,0.35376,0.43878,0.36851,0.25436,1.308,1.4043,0.00133,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
