epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,446.654,4.07645,17.5941,0.01217,0,0,0,0,3.93388,16.0767,0.00856,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,882.461,3.21843,8.85661,0.00611,0.43499,0.05085,0.02736,0.01208,2.65752,5.70489,0.00365,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1314.99,2.50123,4.12699,0.00359,0.45686,0.12103,0.07932,0.03758,2.19636,3.27295,0.00274,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1743.64,2.16739,2.9028,0.00281,0.29668,0.21117,0.13263,0.07027,1.92986,2.42535,0.00222,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2174.49,1.97237,2.49607,0.0024,0.38168,0.24167,0.16972,0.10107,1.76214,2.17847,0.00195,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2607.27,1.839,2.26408,0.00221,0.33738,0.29257,0.20003,0.12301,1.62018,1.96158,0.0018,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3041.37,1.78564,2.16155,0.0021,0.33363,0.32652,0.21673,0.13537,1.57358,1.9477,0.00172,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3472.61,1.73103,2.06464,0.00199,0.31534,0.31789,0.24095,0.15409,1.51192,1.84211,0.00162,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3908.63,1.67988,1.9975,0.0019,0.23178,0.34962,0.24431,0.15504,1.48361,1.75557,0.00156,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4350.42,1.65267,1.94922,0.00186,0.3506,0.36731,0.26487,0.16998,1.46007,1.7059,0.00152,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4780.24,1.63164,1.90513,0.00181,0.32562,0.34709,0.2765,0.1761,1.43655,1.66405,0.00149,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5211.45,1.59162,1.85923,0.00178,0.43121,0.35957,0.28795,0.18739,1.42235,1.61866,0.00148,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5645.64,1.58228,1.82548,0.00174,0.3638,0.41434,0.30576,0.20034,1.40315,1.56696,0.00145,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,6076.93,1.55096,1.77051,0.00171,0.38569,0.40285,0.31236,0.20803,1.38185,1.56052,0.00142,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6507.32,1.54524,1.76377,0.00169,0.3785,0.38011,0.3202,0.21301,1.35597,1.53431,0.00138,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6939.27,1.53998,1.74091,0.00166,0.4265,0.38774,0.33781,0.22825,1.37498,1.48044,0.00144,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,7374.34,1.52662,1.7072,0.00164,0.39608,0.42132,0.34217,0.23335,1.33384,1.45207,0.00136,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,7814.88,1.50981,1.70016,0.00164,0.44105,0.41504,0.35915,0.24513,1.3397,1.44674,0.00138,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,8254.43,1.48699,1.66221,0.00161,0.45232,0.41298,0.37382,0.2556,1.32097,1.42301,0.00133,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,8684.96,1.47787,1.65149,0.00159,0.46091,0.41973,0.37236,0.2515,1.32743,1.38687,0.00134,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,9117.5,1.4818,1.62142,0.00159,0.39152,0.44395,0.37364,0.25626,1.33034,1.39658,0.00134,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,9548.41,1.47617,1.61604,0.00157,0.38984,0.43081,0.39021,0.26892,1.29297,1.37664,0.0013,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,9981.6,1.46964,1.60669,0.00157,0.41063,0.44288,0.39126,0.26888,1.299,1.36227,0.00131,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,10413.9,1.45807,1.57635,0.00156,0.40966,0.44331,0.39932,0.27387,1.29106,1.35599,0.0013,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,10845.3,1.45413,1.57929,0.00156,0.42382,0.44238,0.41114,0.28709,1.28471,1.32971,0.00129,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,11279.4,1.45162,1.54538,0.00154,0.45133,0.45265,0.42434,0.29403,1.26535,1.312,0.00128,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,11718.8,1.4483,1.55703,0.00153,0.44246,0.46613,0.43629,0.30431,1.26866,1.30006,0.00127,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,12156.6,1.43238,1.5227,0.00152,0.45856,0.45155,0.43919,0.31143,1.24532,1.27559,0.00124,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,12601.2,1.42892,1.50721,0.00151,0.44785,0.46362,0.44161,0.31093,1.26287,1.26799,0.00127,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,13141.2,1.43224,1.50001,0.00153,0.45955,0.48723,0.45481,0.31782,1.25457,1.25168,0.00126,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,13683.6,1.41346,1.49801,0.0015,0.43891,0.47235,0.44804,0.30783,1.25007,1.26371,0.00124,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,14226.1,1.4224,1.48752,0.00149,0.37292,0.52183,0.45405,0.31798,1.25283,1.24024,0.00126,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,14708.7,1.4215,1.48258,0.00149,0.52406,0.46751,0.46859,0.33154,1.25253,1.21853,0.00125,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,15146.7,1.4195,1.45913,0.0015,0.46118,0.52357,0.48234,0.34221,1.23225,1.20519,0.00122,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,15587,1.40011,1.45031,0.00149,0.50485,0.4883,0.48771,0.34569,1.23367,1.20812,0.00123,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,16026.9,1.40578,1.44557,0.00147,0.50284,0.48681,0.48341,0.34127,1.22274,1.19897,0.00121,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,16462.2,1.42062,1.42965,0.00147,0.47738,0.49774,0.49275,0.34677,1.22641,1.18062,0.00121,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,16894.2,1.41058,1.42902,0.00148,0.4836,0.49349,0.49302,0.34687,1.21998,1.17671,0.0012,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,17329.1,1.40852,1.4144,0.00146,0.49665,0.5122,0.50002,0.35048,1.21738,1.17596,0.0012,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,17758.6,1.40464,1.41798,0.00147,0.4894,0.4938,0.49571,0.35307,1.21638,1.16667,0.0012,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,18188.3,1.40364,1.41154,0.00147,0.47887,0.52,0.51634,0.37144,1.20235,1.15523,0.00119,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,18625,1.39169,1.40056,0.00148,0.52196,0.50319,0.51792,0.37118,1.19822,1.14032,0.00119,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,19059.6,1.38242,1.37702,0.00147,0.49705,0.53117,0.5243,0.37516,1.19576,1.12787,0.00118,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,19499.2,1.39074,1.38809,0.00145,0.51611,0.51912,0.52619,0.37576,1.20092,1.12113,0.00118,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,19942.2,1.40436,1.35974,0.00146,0.55476,0.51003,0.54649,0.39295,1.19507,1.10351,0.00117,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,20378.1,1.3795,1.34558,0.00143,0.53969,0.51068,0.54181,0.38914,1.18505,1.10247,0.00116,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,20810.5,1.38446,1.34858,0.00144,0.53322,0.50403,0.53721,0.38744,1.19102,1.10422,0.00117,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,21244.9,1.39624,1.35465,0.00142,0.50183,0.5198,0.53797,0.38904,1.18112,1.09229,0.00116,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,21676.1,1.37478,1.33629,0.00143,0.55429,0.52531,0.56036,0.40563,1.18057,1.0749,0.00116,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,22109.6,1.37184,1.31723,0.00142,0.53985,0.55226,0.56146,0.4077,1.17156,1.08139,0.00115,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,22542.1,1.3812,1.31938,0.00143,0.55566,0.51859,0.56347,0.40769,1.17488,1.07761,0.00115,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,22981.3,1.37846,1.30661,0.00142,0.53843,0.54142,0.56805,0.41116,1.16737,1.06681,0.00114,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
