epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,429.904,4.09288,18.5497,0.01299,0.00035,0.00062,0,0,3.77748,15.883,0.00901,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,829.124,3.11609,8.18833,0.00574,0.56437,0.06079,0.03838,0.01734,2.45103,5.22536,0.00325,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1225.01,2.45764,3.96425,0.00349,0.34049,0.16558,0.09939,0.0493,2.09891,3.04501,0.00265,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1678.88,2.16304,2.74979,0.00282,0.36584,0.23227,0.15137,0.08323,1.86943,2.346,0.00222,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2080.17,1.9922,2.3622,0.00248,0.41079,0.27218,0.1981,0.11404,1.74366,2.04094,0.00201,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2476.75,1.85949,2.13327,0.00229,0.31395,0.32743,0.22662,0.13608,1.60763,1.85671,0.00179,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2875.05,1.80016,2.04009,0.00212,0.30634,0.36226,0.2393,0.1483,1.50272,1.81098,0.00163,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3269.68,1.75911,1.9397,0.00204,0.32768,0.35922,0.26338,0.16247,1.50904,1.71159,0.00163,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3667.17,1.69283,1.88807,0.00192,0.26936,0.39627,0.26953,0.1745,1.48502,1.6736,0.0016,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4077.04,1.65855,1.85209,0.00187,0.38023,0.37497,0.30172,0.18767,1.48527,1.59746,0.00157,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4482.59,1.64392,1.81425,0.00183,0.33059,0.40351,0.30375,0.19335,1.44307,1.56828,0.00149,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4878.61,1.60238,1.7604,0.0018,0.35076,0.40413,0.31387,0.20379,1.42589,1.53575,0.0015,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5274.5,1.58554,1.73695,0.00175,0.36575,0.42704,0.33033,0.2176,1.39323,1.49178,0.00144,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5671.48,1.56207,1.68648,0.00173,0.37234,0.41369,0.33449,0.22577,1.35894,1.4762,0.00141,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6067.71,1.54819,1.69154,0.00169,0.46363,0.37843,0.34583,0.23407,1.34963,1.4549,0.00139,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6467,1.54145,1.65234,0.00167,0.42333,0.425,0.35629,0.24495,1.3474,1.42458,0.0014,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,6862.41,1.53021,1.63031,0.00165,0.3626,0.45064,0.36004,0.24433,1.37306,1.42225,0.0014,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,7259.85,1.51947,1.6214,0.00166,0.49196,0.40057,0.37754,0.25853,1.342,1.39434,0.00137,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,7664.08,1.49639,1.58572,0.00163,0.44042,0.42811,0.38544,0.26582,1.30725,1.39433,0.00134,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,8070.44,1.48158,1.58028,0.0016,0.43877,0.45168,0.39903,0.27299,1.30329,1.34682,0.00131,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,8472.8,1.48347,1.54782,0.00159,0.42004,0.45118,0.40799,0.2811,1.30198,1.33898,0.00133,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,8868.38,1.47896,1.54374,0.00158,0.43696,0.47688,0.42073,0.29415,1.29861,1.32224,0.00131,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,9262.62,1.48101,1.53469,0.00158,0.40855,0.47982,0.40886,0.28474,1.29212,1.32004,0.00132,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
