epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,344.454,4.18304,20.1191,0.01255,0,0,0,0,4.13538,20.1626,0.01095,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,700.746,3.34633,9.42588,0.00618,0.38694,0.04351,0.02056,0.0094,2.58898,6.36614,0.00365,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701
3,1053.96,2.5562,4.51548,0.00346,0.4161,0.09967,0.06299,0.02926,2.36916,3.61406,0.00289,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437
4,1406.3,2.26317,3.09459,0.00289,0.45536,0.17249,0.11339,0.05958,1.92069,2.60266,0.00227,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1745.25,2.08215,2.64068,0.00243,0.40574,0.20472,0.12907,0.06946,1.90827,2.35385,0.00212,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2091.99,1.95824,2.41317,0.00224,0.41658,0.26981,0.17077,0.09396,1.71478,2.10743,0.00195,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2431.02,1.8788,2.28423,0.00213,0.3823,0.28992,0.19323,0.11494,1.62409,1.97057,0.00178,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2764.73,1.82112,2.17217,0.002,0.38037,0.31861,0.20973,0.1275,1.53158,1.87298,0.00166,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3066.13,1.74884,2.07319,0.00194,0.41342,0.32084,0.21734,0.13078,1.54938,1.83155,0.00166,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3373.52,1.73062,1.99934,0.00184,0.35627,0.33331,0.22925,0.14393,1.49361,1.78227,0.00161,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3686.95,1.71317,1.97173,0.00182,0.34242,0.34347,0.24496,0.15121,1.47986,1.73027,0.00155,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3991.99,1.68321,1.92611,0.0018,0.41389,0.34493,0.25801,0.16102,1.49736,1.69714,0.0016,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4294.54,1.65255,1.8731,0.00173,0.38044,0.36429,0.27631,0.17905,1.43893,1.63078,0.00152,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4579.71,1.634,1.85649,0.00172,0.44147,0.35715,0.27964,0.18687,1.39088,1.59227,0.00145,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4864.51,1.61344,1.82885,0.00171,0.37562,0.37798,0.28958,0.18965,1.41643,1.58193,0.00146,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5148.21,1.60589,1.79027,0.00165,0.36367,0.40336,0.28945,0.18879,1.41245,1.54724,0.00146,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5429.07,1.59638,1.78252,0.00167,0.3624,0.41884,0.30398,0.19904,1.38863,1.58669,0.00144,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5710.75,1.57072,1.74269,0.00163,0.4188,0.38816,0.31864,0.21157,1.37172,1.49353,0.0014,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6012.64,1.56737,1.7273,0.0016,0.39253,0.41092,0.32511,0.22049,1.35425,1.50245,0.00139,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6280.78,1.54733,1.68878,0.00157,0.36161,0.41767,0.3403,0.22954,1.32883,1.48398,0.00135,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,6520.05,1.5517,1.67539,0.00156,0.42646,0.42873,0.3463,0.23061,1.33871,1.45829,0.00135,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,6740.9,1.54593,1.66281,0.00156,0.41405,0.40286,0.35549,0.23649,1.3444,1.41227,0.00135,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,6948.51,1.51876,1.63882,0.00155,0.424,0.43644,0.35615,0.24391,1.31257,1.4216,0.00132,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,7154.98,1.52644,1.63932,0.00152,0.3814,0.44388,0.36507,0.24805,1.30842,1.40161,0.00132,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,7360.88,1.51801,1.64359,0.00153,0.38367,0.45524,0.36873,0.25354,1.29706,1.38241,0.0013,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,7565.74,1.50454,1.60091,0.00151,0.40671,0.41105,0.37711,0.25669,1.29712,1.37567,0.00128,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,7770.93,1.49507,1.57161,0.00151,0.39549,0.44861,0.39034,0.26866,1.29186,1.35605,0.00131,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
