epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,346.714,4.21949,20.8103,0.01308,1e-05,9e-05,0,0,3.99097,22.6977,0.01201,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,677.619,3.17918,8.98995,0.00561,0.50726,0.05267,0.02911,0.01109,2.61907,6.19946,0.00348,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701
3,1014.83,2.46048,4.3407,0.0032,0.35374,0.17143,0.08253,0.03824,2.21997,3.64783,0.00265,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437
4,1348.23,2.20302,2.95436,0.00277,0.40853,0.22067,0.13474,0.07429,1.8262,2.47543,0.00207,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1681.15,2.03889,2.50715,0.00234,0.41685,0.26397,0.17914,0.10405,1.73381,2.19923,0.00191,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2012.07,1.92826,2.28709,0.0022,0.46857,0.25522,0.19462,0.11335,1.63192,2.21336,0.00181,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2344.09,1.8467,2.17214,0.00209,0.4199,0.32151,0.22583,0.1363,1.64175,1.90639,0.00178,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2678.57,1.80837,2.0709,0.00198,0.3689,0.34283,0.23635,0.14751,1.55992,1.8134,0.00169,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3007.92,1.76249,1.98865,0.00196,0.42685,0.34091,0.24646,0.15713,1.51646,1.7327,0.0016,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3329.53,1.72677,1.93859,0.00183,0.45939,0.3467,0.24305,0.15406,1.51449,1.75376,0.00161,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3642.66,1.71215,1.91142,0.00182,0.39782,0.39015,0.28178,0.18361,1.45441,1.68015,0.00152,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3964.79,1.68498,1.87706,0.00179,0.45759,0.36668,0.28824,0.18472,1.46545,1.67183,0.00153,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4293.71,1.6589,1.8196,0.00174,0.40639,0.39497,0.29791,0.19645,1.40678,1.59031,0.00145,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4616.36,1.64288,1.79299,0.00173,0.41396,0.40053,0.31195,0.20338,1.41073,1.60279,0.00148,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4954.89,1.62328,1.78162,0.00171,0.40285,0.4072,0.31886,0.21292,1.39644,1.53052,0.00146,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5271.01,1.61415,1.74174,0.00167,0.44915,0.40086,0.3367,0.22226,1.38346,1.51369,0.00144,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5574.16,1.59251,1.72979,0.00167,0.40853,0.41666,0.33348,0.22167,1.37932,1.51705,0.00142,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5875.07,1.57956,1.69794,0.00164,0.41015,0.43275,0.36053,0.24269,1.37964,1.4621,0.00141,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6176.54,1.57287,1.68054,0.00161,0.38608,0.42052,0.34882,0.23624,1.34849,1.45055,0.00139,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6475.22,1.55515,1.64668,0.00159,0.40384,0.42696,0.3659,0.25001,1.33345,1.41823,0.00136,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,6780.81,1.5574,1.63336,0.00158,0.42482,0.44389,0.37394,0.25239,1.33733,1.43341,0.00137,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7083.23,1.55435,1.61969,0.00157,0.42515,0.45324,0.38963,0.2687,1.32243,1.37499,0.00135,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7386.5,1.5271,1.60657,0.00157,0.5331,0.39569,0.39549,0.26982,1.31266,1.37247,0.00135,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
