epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,365.47,1.91046,7.43712,0.00211,0.54918,0.146,0.10421,0.06699,1.62575,6.1819,0.00163,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,720.288,1.78536,4.8362,0.00181,0.46324,0.25247,0.19162,0.12569,1.57538,4.13348,0.00161,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701
3,1069.92,1.78782,3.26948,0.00182,0.37033,0.31886,0.23099,0.14647,1.60529,2.59109,0.00165,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437
4,1419.58,1.78681,2.37637,0.0019,0.42315,0.35612,0.2571,0.16276,1.54352,2.19527,0.0016,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1765.76,1.75457,2.07889,0.00179,0.42378,0.36805,0.30537,0.19791,1.53533,2.05642,0.00159,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2112.68,1.70299,1.95272,0.00173,0.47314,0.35957,0.30625,0.20153,1.52387,1.94567,0.00157,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2459.9,1.66344,1.86092,0.0017,0.43903,0.40494,0.34056,0.22467,1.47592,1.64382,0.00153,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2828.27,1.63798,1.79288,0.00164,0.41502,0.43068,0.36952,0.24406,1.46438,1.54167,0.00153,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3265.12,1.61132,1.72206,0.00164,0.37069,0.44794,0.38019,0.24386,1.51224,1.50161,0.00153,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3695.82,1.59535,1.68506,0.00157,0.43577,0.45717,0.41282,0.27551,1.4257,1.45945,0.00149,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4130.84,1.59028,1.64762,0.00157,0.40205,0.47813,0.42534,0.28822,1.39581,1.42973,0.00141,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4561.15,1.57785,1.61595,0.00158,0.45522,0.46393,0.44169,0.3019,1.36197,1.37595,0.00138,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4896.5,1.55953,1.57769,0.00154,0.4467,0.45744,0.43218,0.30312,1.33745,1.40386,0.00134,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5227.84,1.54979,1.55025,0.00154,0.4836,0.47096,0.45079,0.30746,1.36222,1.35062,0.00137,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5555.19,1.53279,1.5324,0.00153,0.47137,0.51485,0.48265,0.33453,1.32834,1.33574,0.00132,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5879.92,1.52629,1.5248,0.00149,0.6156,0.4389,0.47323,0.3287,1.35184,1.3157,0.00134,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,6203.98,1.52584,1.51091,0.00152,0.54864,0.49083,0.48587,0.34099,1.28597,1.27989,0.00127,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,6525.85,1.51688,1.48405,0.0015,0.4308,0.53104,0.47679,0.32349,1.33494,1.27485,0.00133,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6851.07,1.50494,1.47786,0.00147,0.47819,0.53615,0.50113,0.34802,1.30262,1.24815,0.00129,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,7185,1.489,1.42996,0.00144,0.48303,0.53633,0.51589,0.35594,1.31122,1.21233,0.00133,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,7511.16,1.50409,1.41711,0.00145,0.53459,0.49948,0.52218,0.36784,1.28757,1.2034,0.00129,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7834.28,1.48658,1.40219,0.00144,0.5329,0.51082,0.51836,0.36211,1.28657,1.2155,0.00128,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
